Agency Name,Employee Count,Average Compensation,Percent High Earners,Total Payroll
DEPT OF ED PEDAGOGICAL,1315181,83597.84,50.4,109946294742.76
DEPT OF ED PER SESSION TEACHER,1079499,4003.05,0.0,4321284354.92
POLICE DEPARTMENT,667500,88652.65,47.0,59175647062.34
DEPT OF ED PARA PROFESSIONALS,455550,29476.46,0.0,13428000670.69
BOARD OF ELECTION POLL WORKERS,411733,990.00,0.0,407615057.90
DEPT OF ED HRLY SUPPORT STAFF,278563,18531.71,0.0,5162249947.94
FIRE DEPARTMENT,228605,105565.07,59.9,24132702636.69
DEPARTMENT OF EDUCATION ADMIN,198050,59124.91,23.4,11709687777.86
DEPT OF PARKS & RECREATION,183750,27528.27,8.0,5058320459.92
HRA/DEPT OF SOCIAL SERVICES,170177,58193.62,15.6,9903216238.25
